Copernican ideology.,কোপারনিকান মূলনীতি
(Look Agar function and atan2),(দেখুন আর্গ ফাংশন এবং atan2.)
Which is called as exponential form.,যেটাকে বলা হয় এক্সপনেনশিয়াল ফর্ম
If seen Geometrically then the meaning of the equation i2 = -1 is two 90 degree rotation i.e. A 180 degree (pie radian) rotation.Even by this relation (-1),তাই জ্যামিতিক ভাবে দেখলে i 2 =  −1 সমীকরণের অর্থ হল দুইটা 90 ডিগ্রি রোটেশন অর্থাৎ একটা 180 ডিগ্রি (π রেডিয়ান) রোটেশন. এমনকি এই হিসাবে (−1)
Set of complex numbers can be expressed this way.,জটিল সংখ্যার সেট কে সংজ্ঞায়িত করা যায় এভাবে।
"When a learner first learns addition and subtraction, she gets introduced to the positive integer numbers.",একজন শিক্ষার্থী যখন প্রথম যোগ বা বিয়োগ শেখে তখন পরিচিত হয় ধনাত্বক পূর্ণ সংখ্যার সাথে।
"this language media, and used as government officials and this is good to be spoken",যেমন আমার কাছে কেউ 5 টাকা পায় সেসময় আমার কাছে আর কোন টাকা না থাকার অর্থ হল ওই মুহুর্তে আমি -5 টাকার মালিক।
In this case we can think that Mathematics started depending on the practical application.,এবিষয়ে মনে করা যেতে পারে যে সব ধরণের গণিতের সূচনাই হয় কিছু ‘স্বীকার্যের’ উপর ভিত্তি করে।
This is the first obtacle in the stydy of complwx number,জটিল সংখ্যা শিক্ষার প্রাথমিক বাধা এটাই।
But it has a analysis.,কিন্তু এর ব্যাখ্যা হচ্ছে।
"As a resault, the 'imaginary part' of a complex number presents itself with the same physical reality as that of a real number.",ফলে জটিল সংখ্যার সেই কাল্পনিক অংশ বাস্তব অংশের মতই ভৌত বাস্তবতা নিয়ে হাজির হয়।
"If there is a zero in the right half plane of a system, then the system is non minimum phase system.",কোন সিস্টেমের জিরো যদি ডান অর্ধতলে থাকে তাহলে সিস্টেমটি ননমিনিমাম ফেজ সিস্টেম।
 represents Angular velocity and the complex number z encodes the phase and amplitude as explained earlier.,ω দ্বারা কৌনিক গতি বোঝানো হয় এবং জটিল সংখ্যা z পূর্বে বর্ণিত পদ্ধতিতে একই সাথে বিস্তার এবং দশা উভয়কেই ধারণ করে।
(See counter interrogation),(দেখুন কন্টুর ইন্টিগ্রেশন)
Fluid Dynamics,ফ্লুইড ডাইনামিক্স
technical term,পরিভাষা
multiplicative identity,Multiplicative identity (মাল্‌টিপ্লিকাটিভ্‌ আইডেন্‌টাটি) - গুণাত্মক অভেদ
To the South of it is the Arabian Sea,এর দক্ষিণদিকে (আরব সাগর)।
History,ইতিহাস
Politics,রাজনীতি
Subject List : Pakistan,বিষয়শ্রেণী:পাকিস্তান
Men gets the ultimate pleasure through ejaculation.,বীর্যপাতের মাধ্যমে পুরুষের চরমানন্দ লাভ হয়।
Primarily the organization starts from Florida and it was founded according the law of that state.,প্রাথমিকভাবে প্রতিষ্ঠানটির কার্যক্রম ফ্লোরিডাতে শুরু করা হয় এবং সেই রাজ্যের আইন অনুযায়ী এটি প্রতিষ্ঠা করা হয়েছিল।
The Wikimedia projects logo family,উইকিমিডিয়া প্রকল্পগুলির লোগো সংকলন
Annual subscription of the Wikimedia Foundation,উইকিমিডিয়া ফাউন্ডেশন বার্ষিক প্রতিবেদন
The right of using this software by anyone in any job in any place.,যেকোন ব্যক্তির যেকোন স্থানে যেকোন কাজে সফটওয়্যারটি ব্যবহারের অধিকার ।
"Open-Source Service organization is IBM,SUN Micro system etc is very famous.",ওপেন-সোর্স সার্ভিস প্রদানকারী নামীদামী প্রতিষ্ঠানের মধ্যে আই.বি.এম. সান মাইক্রোসিস্টেম্‌স ইত্যাদি উল্লেখযোগ্য।
"But in 22nd June, year 1941 Jarman attacked Soviet Union.",কিন্তু ১৯৪১ সালের ২২ জুন জার্মানি সোভিয়েত ইউনিয়ন আক্রমণ করে এবং এর ফলে সোভিয়েত ইউনিয়নও যুদ্ধে জড়িয়ে পড়ে।
The operation in Pingfun by Unit 731 under general Ishi Shiro.,জেনারেল ইশি শিরো নিয়ন্ত্রিত ৭৩১ নম্বর ইউনিট কর্তৃক পিংফানে পরিচালিত অভিযান
NATO was founded in combination of the countries of Western Europe and the fixation of border of the countries of Europe started.,পশ্চিম ইউরোপের দেশসমূহের সমন্বয়ে গঠিত হয় ন্যাটো (NATO) আর সমগ্র ইউরোপের দেশসমূহের সীমান্তরেখা নির্ধারিত হতে শুরু করে।
"Along with this, to get the resourceful lands of Poland and Ukraine under control has been one the motto of it.",এর পাশাপাশি পোল্যান্ড এবং ইউক্রেনের সম্পদসমৃদ্ধ ভূমি নিয়ন্ত্রণে আনাও একটি উদ্দেশ্য হিসেবে কাজ করেছে।
On the first day of the attack German captured Poland.,প্রথম দিনই জার্মান ঝটিকা বাহিনী পোল্যান্ডকে ছিন্নবিছিন্ন করে দিল।
"Although there were very few Finn peoples, they had a strong intention towards the protection of their country.",ফিন লোকবল খুবই কম হলেও তাদের দেশরক্ষার ইচ্ছা ছিল অনেক বেশী ।
The army of Stalin got very important practical education from the war.,যুদ্ধ থেকে স্তালিনের সেনাদল গুরুত্বপূর্ণ সামরিক শিক্ষা লাভ করলো ।
"On the other hand, soldiers with parachutes landed on the airports.",অন্যদিকে বিমানবন্দরগুলিতে অবতরণ করলো প্যারাশ্যুট বাহিনী ।
"In 10th may after attacking the four countries, Germany ended the fake war",১০ই মে ১৯৪০ একসাথে চারটি দেশ আক্রমণ করে ভুয়া যুদ্ধের ইতি টানল জার্মানী।
"On the 10th June, Italy declared war, too.",১০ই জুন ইতালিও যুদ্ধ ঘোষণা করল ।
Later in order to revolt in Soviet Union Hitler needed the ploiesti oil mine.,পরবর্তীতে সোভিয়েত ইউনিয়ন আক্রমণের জন্য রুমানিয়ার ploieşti তেলের খনি হিটলারের প্রয়োজন ছিল।
"Hitler has hurriedly dragged Hungary, Rumania and Slovakia into the Axis Agreement.",হিটলার দ্রুত হাঙ্গেরি রুমানিয়া ও স্লোভাকিয়াকে অক্ষচুক্তিতে টেনে নিল।
North Africa,উত্তর আফ্রিকা
Subject:Internet search engine,বিষয়শ্রেণী:ইন্টারনেট অনুসন্ধান ইঞ্জিন
"If we analyze the past with the help of these theories, we would find that the entire universe was formed out of a very old state of point.",এই তত্ত্বসমূহের সাহায্যে অতীত বিশ্লেষণ করে দেখা যায় সমগ্র মহাবিশ্ব একটি সুপ্রাচীন বিন্দু অবস্থা থেকে উৎপত্তি লাভ করেছে।
so remeber this points,আরও দেখুন: বিশ্বতত্ত্বের কালপঞ্জি
This incident is now known as Hubble's law,এই ঘটনাটি বর্তমানে হাবলের নীতি নামে পরিচিত।
"IN THE YEAR 1949,ON 28TH MARCH, """"HOWEL"""" IN A BBC BROADCAST NAMED """"THIRD PROGRAMME"""" DESCRIBED THE THEORY OF """"LAYMETETRE THEORY""""AS """"BIG BANG"""" WHICH CREATED A LOT OF CONFUSION.",হয়েল ১৯৪৯ সালের ২৮শে মার্চ বিবিসিতে প্রচারিত থার্ড প্রোগ্রাম নামক অনুষ্ঠানে অনেকটাই শ্লেষের বশে ল্যমেত্র্‌র এই তত্ত্বটিকে বিগ ব্যাং বলে আখ্যায়িত করেন যার দ্বারা একটি বিশাল গণ্ডগোলই বুঝায়।
"In present time, one of the main topic of astronomical research is emergence and evolution of galaxy in the light of theory of Big Bang.",আধুনিক কালে বিশ্বতাত্ত্বিক গবেষণার অন্যতম একটি বিষয়ই হচ্ছে মহা বিস্ফোরণ তত্ত্বের আলোকে ছায়াপথসমূহের সৃষ্টি ও বিবর্তন প্রক্রিয়া উদ্‌ঘাটন করা।
"Depending on the three measures, the age of the universe has been found to be 13.7 ± 0.2 billion years.",তিনটি পরিমাপের উপর ভিত্তি করে মহাবিশ্বের যে বয়স পাওয়া গেছে তা হল প্রায় ১৩.৭ ± ০.২ বিলিয়ন বছর।
"When the cosmological expansion stopped, the universe was full of quark-gluon plasma.",মহাজাগতিক স্ফীতি বন্ধ হয়ে যাওয়ার পর মহাবিশ্বে কোয়ার্ক-গ্লুওন প্লাসমা নামক পদার্থ ছিল।
"Due to this division, the primary forces discussed in Physics get different independent existence.",এই ভাঙনের কারণে পদার্থবিজ্ঞানের আলোচ্য মৌলিক বলসমূহ পৃথক পৃথক স্বাধীন অস্তিত্ব লাভ করে।
"Sometimes after this, Proton and Neutron united to form the first elements of the universe, the Deuterium and Helium",এর কিছুকাল পরে প্রোটন ও নিউট্রন একত্রিত হয়ে মহাবিশ্বের একেবারে প্রথমদিককার উপাদান ডিউটেরিয়াম ও হিলিয়াম কেন্দ্রীন তৈরি করে।
that is why denser regions attract other substances towards it.,এর কারণে যে অঞ্চলগুলো অন্যান্য অঞ্চল থেকে খানিকটা ঘন সেখানের পদার্থগুলো আশেপাশের অন্যান্য বস্তুকে মহাকর্ষ বলের মাধ্যমে আকর্ষণ করে।
"When the expansion of universe is expressed in terms of velocity-distance graph, the line in the graph is not straight-line.",মহাবিশ্বের সম্প্রসারণকে একটি বেগ-দূরত্ব সম্পর্কিত লেখের মাধ্যমে প্রকাশ করলে লেখচিত্রের রেখাটি সরলরৈখিক হয়না।
"To date, no suitable formula has been invented in physics to explain the situation between 10 and 33 seconds after the big bang.",মহা বিস্ফোরণের পর ১০−৩৩ সেকেন্ড পর্যন্ত পরিস্থিতি ব্যাখ্যার জন্য উপযোগী কোন সূত্র পদার্থবিজ্ঞানে আজ অবধি আবিষ্কৃত হয়নি।
From this it can easily be understood that this metric will be FRW metric.,এ থেকে সহজেই বোঝা যায় যে এই মেট্রিকটি হবে এফআরডব্লিউ মেট্রিক।
Because the amount of comoving distance that light passes during a certain travel is equal to the interim conformal time of that travel.,কারণ একটি নির্দিষ্ট ভ্রমণে আলোক রশ্মি যে পরিমাণ কমোভিং দূরত্ব অতিক্রম করে তা উক্ত ভ্রমণের মধ্যবর্তী কনফরমাল সময়ের সমান।
"The light from an object, which has a comoving distance greater than this,can never reach us.",যে বস্তুর কমোভিং দূরত্ব এই -এর চেয়ে বেশী সেখান থেকে আলোক রশ্মি কখনই আমাদের কাছে আসতে পারবেনা।
.There are two possible explanation of the observation of Hubble's principle- one is: we exist exactly at the center of the explosion of the galaxy.,হাবলের নীতি পর্যবেক্ষণের দুটি সম্ভাব্য ব্যাখ্যা রয়েছে -- একটি হল: আমরা ছায়অপথের একটি বিস্ফোরণের ঠিক কেন্দ্রে আছি ।
It's other name is CMB which is built with photons turned out during the first Baryogenesis.,এর অপর নাম সিএমবি যা প্রথম বেরিওজেনেসিসের সময় নিঃসরিত ফোটন দ্বারা গঠিত।
There was thermal equilibrium present in the early Universe so the spectrum of the radiation was same as radiation in a blackbody spectrum at that time.,আদি মহাবিশ্বে যেহেতু তাপীয় সাম্যাবস্থা বিরাজ করছিল সেহেতু তখনকার বিকিরণের বর্ণালী ছিল কৃষ্ণবস্তুর বিকিরণ বর্ণালী ধরণের।
In 2003 through the artificial satellite WMAP better quality pictures could be obtained.,২০০৩ সালে ডব্লিউএমএপি নামক কৃত্রিম উপগ্রহের মাধ্যমে আরো নিখুঁত তথ্য পাওয়া যায়।
7Li/H -for this about 10-9,৭Li/H -এর জন্য প্রায় ১০-৯
For this reason the remoter galaxies (those are the ancientest) seem different than the closer ones (those observed in the recent times).,এ কারণেই দূরবর্তী ছায়াপথগুলোকে (যারা অনেকটাই প্রাচীন) অপেক্ষাকৃত নিকটবর্তী ছায়াপথ (বর্তমান সময়ে পর্যবেক্ষণকৃত) অপেক্ষা অন্য রকম মনে হয়।
"Other than the solved problems there are some more problems, like: Kaspi Halo problem and Cold Invisible element small milky way problem.",সমাধান হয়ে গেছে এমন সমস্যাগুলো ছাড়াও আরও কিছু সমস্যা রয়েছে যেমন: কাস্পি হ্যালো সমস্যা এবং শীতল অদৃশ্য বস্তুর বামন ছায়াপথ সমস্যা।
The horizon problem,দিগন্ত সমস্যা
This problem can be solved by cosmological expansion theory.,মহাজাগতিক স্ফীতিশীলতা তত্ত্ব দ্বারা এই সমস্যার একটি সমাধানে পৌঁছানো সম্ভব।
"The United Nations Convention on the Rights of the Child defines a child as """"a human being below the age of 18 years unless under the law applicable to the child, majority is attained earlier.",আদর্শ নকশায় এই সবগুলো শর্ত পালিত হয় কিস্তু এর প্রভাব বিদ্যমান বেরিয়ন অপ্রতিসাম্য ব্যাখ্যা করার মত যথেষ্ট প্রমাণ উপস্থাপন করতে পারে নি।
But there is no doubt that these are some of the oldest creation in the universe.,কিন্তু এতে কোন সন্দেহ নেই যে এরা মহাবিশ্বের প্রাচীনতম সৃষ্টিগুলোর একটি।
Though a huge debate was created by this thing soon after its first invention but the most of the recent-time theologists of the universe are agreed with it.,প্রথম আবিষ্কারের পরপর এই বস্তুটি ব্যাপক বিতর্কের সৃষ্টি করলেও বর্তমানে অধিকাংশ বিশ্বতত্ত্ববিদ এটি মেনে নিয়েছেন।
According to this number the weight of the earth is 30% of the density of the earth's density unit.,এই পরিসংখ্যান অনুসারে মহাবিশ্বের ভর ঘনত্ব ক্রান্তি ঘনত্বের মাত্র শতকরা ৩০ ভাগ।
"According to the data received from WMAP in 2006, 74% of the universe is invisible energy, 22% is invisible matter and only 4% is common matters.",২০০৬ সালে ডব্লিউএমএপি থেকে প্রাপ্ত তথ্যানুসারে মহাবিশ্বে ৭৪% অদৃশ্য শক্তি ২২% অদৃশ্য বস্তু এবং মাত্র ৪% সাধারণ বস্তু রয়েছে।
The name of this condition is heat death of Universe.,এই অবস্থার নাম মহাবিশ্বের তাপীয় মৃত্যু।
here inflation index is displayed in the left hand side matrix.,এখানে স্ফীতিশীলতামূলক ইপককে বামদিকে নির্দেশিত মেট্রিক প্রসারণ হিসেবে দেখানো হয়েছে।
Brane model of the theory of universe in which the Brane Expansion is included.,ব্রেইন বিশ্বতত্ত্ব নকশা যার মধ্যে ব্রেইন স্ফীতিশীলতা অন্তর্ভুক্ত হয়।
With some religion and from some point of view this information do not matches.,কিছু ধর্ম এবং বৈশ্বিক দৃষ্টিভঙ্গির সাথে এই তত্ত্ব খাপ খায় না।
At present the Roman Catholic Church supports the theory of Big Bang and they think that the explanation of the genesis of the Bible is similar to that of Big Bang theory.,বর্তমানে রোমান ক্যাথলিক চার্চ মহা বিস্ফোরণ তত্ত্বকে সমর্থন করে এবং মনে করে বাইবেলের জেনেসিসের ব্যাখ্যা মহা বিস্ফোরণের সাথে সামঞ্জস্যপূর্ণ।
"As an example in third part of bhagabad Purana (section 10,26) one primitive structure is given in which if you see then it will be bust.",যেমন ভগবত পুরাণের তৃতীয় পুস্তকে (অধ্যায় ১০ ২৬) একটি আদি অবস্থার কথা উল্লেখিত আছে যার উপর বিষ্ণু দৃষ্টি নিক্ষেপ করায় তা বিস্ফোরিত হয়।
In the beginning the acceptance of these ideal principles was deliberated.,প্রথমদিকে এই আদর্শ নীতিগুলোকে স্বীকার্য হিসেবে বিবেচনা করা হয়েছিলো।
and winning the heart of the people which is not only the tuff task but also easy too,আলোর সাথে মিথস্ক্রিয়ারত রাসায়নিক মৌলসমূহের পরমাণুর বিশোষণ রেখা এবং নিঃসরণ রেখার বর্ণালীবীক্ষণগত গড়নের সাথে পর্যবেক্ষণযোগ্য এই বর্ণালীর সম্মিলন ঘটানো হয়েছে।
"If the density of the earth is less than the transit density then it will maintain the principle of semi-circle geometry, if more than circle and if equal then Euclidio.",মহাবিশ্বের ঘনত্ব যদি ক্রান্তি ঘনত্ব থেকে কম হয় তবে তা অধিবৃত্তীয় জ্যামিতি মেনে চলবে বেশী হলে উপবৃত্তীয় এবং সমান হলে ইউক্লিডীয়।
Note,টীকা
There is field formed by the complex number.,জটিল সংখ্যাগুলি একটি ফিল্ড তৈরি করে।
"Italian mathematician Rafael Bombelli invented the method of addition, subtraction, multiplication and division of complex number.",জটিল সংখ্যার যোগ বিয়োগ গুণ এবং ভাগের নিয়ম প্রথমে তৈরি করেন ইতালীয় গণিতবিদ রাফায়েল বোমবেল্লি।
"For example, 3+2i is a complex number of which the real part is 3 and imaginary part is 2.",যেমন 3+2i একটা জটিল সংখ্যা যার বাস্তব অংশ 3 এবং কাল্পনিক অংশ 2।
Plot of the function f(x)=(x2-1)(x-2-i)2/(x2+2+2i).,ƒ(x) =(x2 − 1)(x − 2 − i)2/(x2 + 2 + 2i) ফাংশনটির প্লট।
In that case the X-axis is assumed along its real part and Y-axis is assumed along the imaginary part of the number.,এক্ষেত্রে x-অক্ষ বরাবর বাস্তব অংশ এবং y-অক্ষ বরাবর সংখ্যাটির অবাস্তব বা কাল্পনিক অংশ ধরা হয়।
Or,অর্থাৎ হয়।
i.e.,অর্থাৎ
"Addition, subtraction, multiplication, division of complex number obey the rule of normal algebraic operation and also it follow the equation.",জটিল সংখ্যার যোগ বিয়োগ গুণ ভাগ---এই সব অপারেশনই বীজগণিতের সহযোগী বিধি বিনিময় বিধি এবং বন্টন বিধি মেনে চলে এবং সেই সাথে এই সমীকরণটি মেনে চলে।
"Positive Identity (“zero”), 0+0i;",যোগাত্মক অভেদ (শূন্য) 0 + 0i;
Complex Number z can be seen as a vector over the two dimensional Cartesian coordinate system.,জটিল সংখ্যা z কে দেখা যেতে পারে একটি দ্বিমাত্রিক কার্টেসিয়ান কো-অর্ডিনেট সিস্টেমের উপর একটি অবস্থান ভেক্টর হিসেবে।
"WHAT WE GET FROM HERE IS,IF WE DEFINE DISTANCE AT COMPLEX PLAIN THEN THE SET OF COMPLEX NO TURNS INTO A METYRIC SHAPE AND AT THAT TIME WE CAN DEFINE LIMIT AND CONTINUATY.",এখান থেকে আমরা পাই এবং . আমরা যদি জটিল সমতলে দূরত্ব কে এভাবে সংজ্ঞায়িত করি যে  তাহলে জটিল সংখ্যার সেটটা একটা মেট্রিক স্পেস এ পরিণত হয় এবং তখন আমরা লিমিট বা সীমা এবং কন্টিনিউয়িসিটি কে সংজ্ঞায়িত করতে পারি।
"The summation of two points A and B on a complex plane is    X = A + B is like triangle 0,A,B and triangle X,A,B are congruent.",জটিল সমতলে দুইটি বিন্দু A এবং B এর যোগফল X = A + B এমন যেন ত্রিভুজ 0 A B এবং ত্রিভুজ X B A সর্বসম।
In this case arg(0) = 0 to get a unique representation.,এক্ষেত্রে একটা অনন্য প্রকাশ (ইউনিক রিপ্রেজেন্টেশন) পাওয়ার জন্য arg(0) = 0।
"The obtained result of fie from this equation is in the range (-pie, +pie).",এই ফর্মুলা থেকে প্রাপ্ত φ এর মান (−π +π] রেঞ্জে আবদ্ধ।
"To get the result of multiplication, division in polar form.",পোলার ফর্মে গুন ভাগ ঘাত এবং মূল নির্ণয়
The equation(-1) = +1 in geometry can be seen as two 180 degree rotational.,• (−1) = +1 কে জ্যামিতিক ভাবে দেখা যেতে পারে দুইটা 180 ডিগ্রি ঘুর্ণন হিসাবে।
It can be easily learnt that when b=0.,এখান থেকে আমরা সহজেই দেখি যে যখন b=0.
Till then she knows that it is not possible to subtract a big number from a small number.,তখনও পর্্যন্ত সে জানে যে ছোট সংখ্যা থেকে বড় সংখ্যা বিয়োগ করা সম্ভব নয়।
non Chinese language and some languages are used as second government languages,কিন্তু এরপর যখন উচ্চতর গণিত শিখতে গিয়ে সে যখন পরিচিত হয় জটিল সংখ্যার সাথে তখন তার পক্ষে এরকম বাস্তব উদাহরন খুজে বের করা মুশকিল হয়ে যায়।
Some theory is there which we accepted without and proof.,যে স্বীকার্য গুলো আমরা প্রমান ছাড়াই মেনে নিই(আসলে প্রমান সম্ভব নয়)।
Therefore complex numbers are only as much complex or imaginary as any other real numbers.,অতএব জটিল সংখ্যা ঠিক ততটাই জটিল বা কাল্পনিক বা বাস্তব যতটা জটিল বা কাল্পনিক বা বাস্তব অন্য আর সব সংখ্যা।
Then only this operation will be distributive when a and b will be positive real number.,অপারেশন টি শুধু মাত্র তখনই ডিস্ট্রিবিউটিভ যখন a এবং b ধনাত্বক বাস্তব সংখ্যা।
Control Theory,নিয়ন্ত্রণ তত্ত্ব
Signal analysis,সিগন্যাল বিশ্লেষণ
"In Electrical Engineering, Fourier transform is used to analysis alternating voltage and current..",তড়িৎ প্রকৌশলে পরিবর্তনশীল বিভব এবং তড়িৎ প্রবাহের বিশ্লেষণে ফুরিয়ার ট্রান্সফর্ম ব্যবহৃত হয়।
Quantum mechanics,কোয়ান্টাম মেকানিক্স
"In fluid dynamics, the two dimensional potential flow is expressed through the functions of the complex numbers.",ফ্লুইড ডাইনামিক্সে জটিল সংখ্যার ফাংশন দ্বারা দিমাত্রিক পটেনশিয়াল ফ্লো প্রকাশ করা হয়।
Bengal technical term,(পড়বার সূত্র: English term (বাংলা লিপিতে ইংরেজি শব্দের ধ্বনিভিত্তিক উচ্চারণ) - বাংলা পরিভাষা)
additive inverse,Additive inverse (অ্যাডিটিভ্‌ ইন্‌ভার্স্‌) - যোগাত্মক বিপরীত
"In the West there are Afghanistan and Iran, in the East is India and in the North-East there are Tibet and Shinchinag regions of China.",পশ্চিমে রয়েছে আফগানিস্তান ও ইরান পূর্বে ভারত এবং উত্তর-পূর্বে চীনের তিব্বত ও শিঞ্চিয়াং এলাকাগুলো।
"Meaning of Pakistan in Urdu is """"country of heaven"""".",ফার্সি সিন্ধি ও উর্দু ভাষায় পাকিস্তান নামটির অর্থ পবিত্রদের দেশ।
Administrative areas,প্রশাসনিক অঞ্চলসমূহ
Women don't ejaculate at the time of ultimate pleasure.,নারীর চরমানন্দে কোনওরূপ বীর্যপাত হয় না।
The Wikimedia foundation directs some internet based plans of collective Wicki.,উইকিমিডিয়া ফাউন্ডেশন ইন্টারনেট ভিত্তিক বেশকিছু সমন্বিত উইকি প্রকল্প পরিচালনা করে থাকে।
The launch dates shown below are when official domains were established for the projects and/or beta versions were launched;,যে তারিখে উইকিমিডিয়ার কোন প্রকল্প আনুষ্ঠানিকভাবে প্রকাশ করা হয়েছে অথবা বেটা সংস্করণ ব্যবাহরের জন্য উন্মুক্ত করা হয়েছে সেই তারিখটি প্রকাশের তারিখ কলামে দেখানো হয়েছে।
freenode irc -is a Wikimedia channel,freenode irc -তে উইকিমিডিয়া চ্যানেল
example,উদাহরণ
Outer link,বহিঃসংযোগ
"In 7th December, year 1941 United Nation also joined with friendly force.",১৯৪১ সালের ৭ ডিসেম্বর তারিখে যুক্তরাষ্ট্র মিত্রশক্তির সাথে যোগ দেয়।
"The sanguinary battles of North Africa, Pacific Ocean and Europe.",উত্তর আফ্রিকা প্রশান্ত মহাসাগর এবং ইউরোপের রক্তক্ষয়ী যুদ্ধসমূহ
Nerve war started for the countries remained in the war pocket.,ওয়ারস প্যাক্টের মাঝে অন্তর্ভুক্ত দেশসমূহ নিয়ে দানা বেঁধে উঠে স্নায়ুযুদ্ধ।
Germany had a national expectation of coming out of the Treaty of Versailles singed immediate after the first world war.,জার্মানির একটি জাতীয় আকাঙ্ক্ষা ছিল প্রথম বিশ্বযুদ্ধের পরপর সম্পাদিত ভার্সাই চুক্তি হতে বেরিয়ে আসার।
France and British force did not get any chance to help them.,ফরাসি ও ব্রিটিশ বাহিনী সাহায্য করবার সুযোগ পেল না।
Stalin wanted to have a quick battle of his own format.,স্তালিন একটি নিজস্ব ঝটিকা যুদ্ধ করতে চেয়েছিলেন ।
On the other hand a meaningless idea regarding Soviet popped up into the mind of Hitler which later helped him while capturing Germany and Russia.,অন্যদিকে সোভিয়েত শক্তি সম্পর্কে হিটলারের ভ্রান্ত নিম্ন-ধারণা তৈরি হয়-যা পরবর্তীতে জার্মানীর রাশিয়া আক্রমণের সময় কাজে এসেছিলো ।
The German army at first captured the airport and then they suddenly entered into the city.,এরপর বিমানবন্দর দখল করে সেখান থেকে অতর্কিতে শহরে প্রবেশ করলো জার্মান সেনা।
"France thought that the attack will come on Maginot Line, the warline on the border of France and Germany.",ফরাসিরা ভেবেছিল আক্রমণ আসবে ফ্রান্স জার্মানী সীমান্তের রণরেখা ম্যাগিনোট লাইনের ওপর ।
But they stated attacking from the 20th June.,তবে তারা আক্রমণ শুরু করে ২০শে জুন থেকে ।
On the year 1940 a oil-arms treaty was signed between Germany-Romania.,১৯৪০ সালে জার্মানী-রুমানিয়া তেল-অস্ত্র চুক্তি হল।
German soldiers landed on Bulgaria on 2nd March.,বুলগেরিয়ায় জার্মান সৈন্য নামল ২রা মার্চ।
Main articles,প্রধান নিবন্ধসমূহ
.,বিষয়শ্রেণী:গুগল
In that state all matters and energy were immensely hot and dense.,এই অবস্থায় সকল পদার্থ এবং শক্তি অতি উত্তপ্ত এবং ঘন অবস্থায় ছিল।
nothing is visible for them who are blind and looking for seeing some thing good,মহাবিশ্বের গঠন এবং এর সাথে তত্ত্বীয় উপাদানসমূহের সমন্বয় সাধনের চেষ্টা থেকেই মহা বিস্ফোরণ তত্ত্বের উৎপত্তি হয়েছে।
